"product","sales","share_sales","cumulative_sales","sales_category","transaction_frequency","share_frequency","cumulative_share","product_category","cumsalessharecumtransactionshare","productfreqqu"
"beefeater gin","1692881.9699998954","0.10564934308211921","68.55672062680478","A","12038","0.11448901360077743700","60.97153410142482614500","X","4180.008429579082","AX"
"captain morgan original spiced rum pet","1669015.080000081","0.10415985870306722","68.66088048550785","A","8935","0.08497751590986429700","65.50419770858389891700","X","4497.575890168157","AX"
"black velvet pet","1664451.1999998624","0.1038750361741057","68.76475552168195","A","16531","0.15722029272590561700","52.98657688120818531400","X","3643.609005167086","AX"
"jose cuervo golden margarita","1664219.3399999063","0.10386056626000863","68.86861608794196","A","13914","0.13233096321990507200","57.26360415371239044000","X","3943.6651702738973","AX"
"caliber vodka","1648683.3100001868","0.10289099402008776","68.97150708196205","A","15559","0.14797595635608042400","53.89964531041092977900","X","3717.53976824225","AX"
"smirnoff red, white & berry","1626572.0600001034","0.1015110755859435","69.07301815754799","A","8158","0.07758775319447934300","67.04558618127687110700","X","4631.040991682787","AX"
"smirnoff 80prf mini","1613444.0900001135","0.1006917855048395","69.17370994305283","A","32469","0.30880077941548783900","39.46434777117338209600","X","2729.895345814911","AX"
"hawkeye vodka pet","1598831.2799999174","0.09977982955961513","69.27348977261244","A","20953","0.19927631682813504300","47.69097020451477411000","X","3303.7199367084186","AX"
"fireball cinnamon whiskey party bucket","1594346.4000000297","0.09949993726104556","69.37298970987348","A","8084","0.07688396626920458600","67.20003887947230436700","X","4661.86760568873","AX"
"seagrams extra smooth vodka","1592847.6900000502","0.0994064057982653","69.47239611567174","A","21103","0.20070291194693522700","47.49169388768663906700","X","3299.3617699695924","AX"
"new amsterdam vodka","1591558.5","0.09932595005532101","69.57172206572706","A","14854","0.14127095929771955900","55.63176003985336124300","X","3870.397347519899","AX"
"beams 8 star bl whiskey","1573114.7499999679","0.09817491288556818","69.66989697861263","A","22228","0.21140237533793660700","46.26176917196424839000","X","3223.0526922591066","AX"
"blantons bourbon","1558847.5900001095","0.09728452825843874","69.76718150687107","A","6204","0.05900397411357561200","71.53075368161402308500","X","4990.499075428452","AX"
"hawkeye blended whiskey","1553906.149999961","0.09697614297278564","69.86415764984386","A","20371","0.19374112776719032900","48.47714775321730487100","X","3386.8150930455477","AX"
"pendleton canadian whisky","1528004.7900000042","0.09535969143190882","69.95951734127577","A","11793","0.11215890824007047000","61.42241424403868698100","X","4297.082454448848","AX"
"dekuyper buttershots","1512452.9999999292","0.09438913564221069","70.05390647691799","A","17881","0.17005964879510727300","50.84091124809383116100","X","3561.6044417752532","AX"
"hornitos plata","1508027.7299999897","0.09411296348328892","70.14801944040127","A","7230","0.06876188472616887100","69.15967650909511451900","X","4851.414332251868","AX"
"paramount gold rum","1507968.5400001006","0.09410926955499613","70.24212870995626","A","22372","0.21277190665198478400","46.05036679662631178300","X","3234.675791669322","AX"
"dekuyper sour apple pucker","1505984.6099999556","0.09398545649244917","70.33611416644871","A","15938","0.15158048668958222300","53.60186735594670469500","X","3770.1470618827075","AX"
"hennessy vsop privilege","1499822.6599999708","0.09360090164388918","70.4297150680926","A","4557","0.04333995970914959100","77.35401985021512102300","X","5448.021577422231","AX"
"jim beam honey","1484594.849999983","0.09265056479135708","70.52236563288396","A","12710","0.12088015973300226200","60.15713850127242774400","X","4242.423716814776","AX"
"stolichnaya 80prf","1482156.209999964","0.09249837419651259","70.61486400708047","A","9163","0.08714594049044057600","64.90532258834570698700","X","4583.280527911721","AX"
"tequila rose liqueur","1469530.7199999806","0.09171044287688952","70.70657444995736","A","15019","0.14284021392839976200","55.49048908055564168400","X","3923.542397438853","AX"
"fireball cinnamon whiskey 50ml sleeve","1458098.2499999912","0.09099696552482994","70.79757141548218","A","7104","0.06756354482637671700","69.56815824477823388500","X","4925.256651578253","AX"
